signal_date,horizon,mover,low_avol_return,high_avol_return,spread,n_low,n_high
2015-03-06,5,positive,-0.0025584293319809858,0.002716001109110077,0.005274430441091063,215,215
2015-03-06,5,negative,-0.014757244727043142,-0.008374279766319534,0.006382964960723608,214,215
2015-03-13,1,positive,0.0020364588778260923,0.005885494654210563,0.003849035776384471,214,214
2015-03-13,1,negative,0.0018140852501514536,-0.00024014303732257446,-0.002054228287474028,213,214
2015-03-11,3,positive,-0.002971780270533265,0.005912911610138157,0.008884691880671421,214,213
2015-03-11,3,negative,0.0039314370005094496,0.008795507311200698,0.004864070310691249,213,214
2015-03-09,5,positive,0.003787667211333176,0.010694559090516429,0.006906891879183252,214,214
2015-03-09,5,negative,-0.02148861150789249,-0.023451552790172525,-0.0019629412822800354,214,214
2015-03-16,1,positive,0.00020438775250397975,0.001338294549729127,0.0011339067972251473,214,215
2015-03-16,1,negative,0.002125600845553864,0.002045894972910535,-7.970587264332892e-05,214,214
2015-03-12,3,positive,-0.0012140108861267353,0.004042222558198715,0.0052562334443254505,214,214
2015-03-12,3,negative,-0.010177514051071444,-0.007746481758130486,0.0024310322929409585,213,214
2015-03-10,5,positive,0.002533444137251103,0.012204438224755818,0.009670994087504714,212,214
2015-03-10,5,negative,0.009195776783362012,0.015565737084553404,0.006369960301191392,213,213
2015-03-17,1,positive,0.016796523678734278,0.014148699865782285,-0.0026478238129519927,214,215
2015-03-17,1,negative,0.017556444902979924,0.012347925361355093,-0.005208519541624832,214,214
2015-03-13,3,positive,0.018969454472558066,0.02158175589443577,0.002612301421877704,214,214
2015-03-13,3,negative,0.02234871726495645,0.020469366806602964,-0.0018793504583534855,213,214
2015-03-11,5,positive,0.01824221191366694,0.02117939335405244,0.002937181440385503,214,213
2015-03-11,5,negative,0.018854877406754546,0.024586336802179642,0.005731459395425097,213,214
2015-03-18,1,positive,-0.014855053015399381,-0.014095591037338068,0.0007594619780613137,214,215
2015-03-18,1,negative,-0.0002133215772162571,0.00026047128224570854,0.00047379285946196563,214,214
2015-03-16,3,positive,0.01060412957845605,0.011211817227727027,0.0006076876492709764,214,215
2015-03-16,3,negative,0.009458000865483197,0.012126229051125259,0.0026682281856420624,214,214
2015-03-12,5,positive,0.004918784991418016,0.0109082869526189,0.005989501961200884,214,214
2015-03-12,5,negative,0.0035402701542721965,-0.001154834220069895,-0.0046951043743420915,213,214
2015-03-19,1,positive,0.009738358954745242,0.0075274304068297365,-0.0022109285479155055,214,214
2015-03-19,1,negative,0.016337513731256754,0.014349378833993249,-0.0019881348972635056,213,214
2015-03-17,3,positive,0.023735309089557986,0.02584102960122612,0.0021057205116681334,214,215
2015-03-17,3,negative,0.0176434199045825,0.014538123311306078,-0.0031052965932764215,214,214
2015-03-13,5,positive,0.025111293839230157,0.028836287713478886,0.0037249938742487283,214,214
2015-03-13,5,negative,0.02939809444473127,0.028916366734292227,-0.00048172771043904217,213,214
2015-03-20,1,positive,0.020523332573784015,0.003934869838812251,-0.016588462734971762,214,214
